Book_Id,Title,description,authors,image,previewLink,publisher,publishedDate,infoLink,categories,ratingsCount
B000NKJM74,Killing Ground,"The US Drug Enforcement Agency is desperate to capture Mario Ruggerio, the would-be leader of the Sicilian Mafia and the mastermind behind a multi-billion dollar international drugs trade. Charlotte Parsons, a young English schoolteacher, was the Ruggerio family's nanny four years ago. When she is asked to take up her old job she is excited at the prospect of leaving behind a sleepy Devon village. But Charley doesn't realise that she is the live bait in an American trap, and that she jas just entered the killing ground . . . WITH AN EXCLUSIVE NEW FOREWORD BY JOHN FOLLAIN",['Gerald Seymour'],http://books.google.com/books/content?id=LZolAAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=LZolAAAAQBAJ&printsec=frontcover&dq=Killing+Ground&hl=&cd=1&source=gbs_api,Hachette UK,11/21/2013,https://play.google.com/store/books/details?id=LZolAAAAQBAJ&source=gbs_api,"['Fiction, western, historical fiction']",
786248602,Watch You Don't Fall (Great Plains Fiction),"Every city has one, a crumbling dilapidated hotel on Main Street that somehow escapes the wrecking ball each year. But there is life behind the dingy windows and to those inside, the ancient building is home. Theresa is a nave legal secretary who is sent to the Wiltshire Hotel to inform the staff that the building is slated for demolition. Inside the dreary caf, she is drawn into the broken lives of the hotel's only resident, Walter, and his rag—tag assortment of homeless friends.Theresa is a nave legal secretary who is sent to the Wiltshire Hotel to inform the staff that the building is slated for demolition. Inside the dreary caf, she is drawn into the broken lives of the hotel's only resident, Walter, and his rag—tag assortment of homeless friends.Perry, the scheming hotel manager, sees Theresa as easy prey and presents her with a phoney business proposition. Tired of living in a tiny north Winnipeg home with her husband's extended family, Theresa is desperate to find a way out for herself, her husband and their three—year—old son. She believes Perry's plan is her ticket out of her in—laws' basement and wagers not only her savings, but her family's future as well.",['Bettina Von Kampen'],http://books.google.com/books/content?id=Tzs7AAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=Tzs7AAAACAAJ&dq=Watch+You+Don%27t+Fall+(Great+Plains+Fiction)&hl=&cd=1&source=gbs_api,Great Plains Fiction,2004,http://books.google.nl/books?id=Tzs7AAAACAAJ&dq=Watch+You+Don%27t+Fall+(Great+Plains+Fiction)&hl=&source=gbs_api,"['Fiction, western, historical fiction']",13
330316362,Plum Bun: A Novel Without A Moral (Black Women Writers Series),"Written in 1929 at the height of the Harlem Renaissance by one of the movement's most important and prolific authors, Plum Bun is the story of Angela Murray, a young black girl who discovers she can pass for white. After the death of her parents, Angela moves to New York to escape the racism she believes is her only obstacle to opportunity. What she soon discovers is that being a woman has its own burdens that don't fade with the color of one's skin, and that love and marriage might not offer her salvation.",['Jessie Redmon Fauset'],http://books.google.com/books/content?id=VuguEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=VuguEAAAQBAJ&printsec=frontcover&dq=Plum+Bun:+A+Novel+Without+A+Moral+(Black+Women+Writers+Series)&hl=&cd=1&source=gbs_api,Beacon Press,2/15/2022,https://play.google.com/store/books/details?id=VuguEAAAQBAJ&source=gbs_api,"['Fiction, western, historical fiction']",1
1894283511,Silver Canyon (G K Hall Large Print Book Series),"Gunfighter Matt Brennan inherits a ranch from a bullet-riddled, dying man, and seeks revenge for his friend's death","[""Louis L'Amour""]",http://books.google.com/books/content?id=OlPcJxJVCGoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=OlPcJxJVCGoC&q=Silver+Canyon+(G+K+Hall+Large+Print+Book+Series)&dq=Silver+Canyon+(G+K+Hall+Large+Print+Book+Series)&hl=&cd=1&source=gbs_api,Macmillan Reference USA,1997,http://books.google.nl/books?id=OlPcJxJVCGoC&dq=Silver+Canyon+(G+K+Hall+Large+Print+Book+Series)&hl=&source=gbs_api,"['Fiction, western, historical fiction']",
807009091,Circle of Three #13: And It Harm None,"De moderne klassieker van Dave Eggers Mae Holland kan haar geluk niet op als ze wordt aangenomen bij de Cirkel, het machtigste internetbedrijf ter wereld. De persoonlijke e-mails van de gebruikers, hun sociale media, betalingsverkeer en aankopen zijn met elkaar verbonden door een universeel besturingsprogramma. Het resultaat: iedereen heeft slechts één online identiteit. Een nieuw tijdperk van openheid en gemeenschapszin is aangebroken. Mae laat zich meeslepen door de energie van het bedrijf, de groepsactiviteiten en de feestjes, de oneindige mogelijkheden – zelfs als ze het leven buiten de campus langzaam uit het oog verliest, een ontmoeting met een collega haar in verwarring brengt, en haar bijdrage aan de Cirkel steeds meer openbaar wordt. De Cirkel is een intelligente, scherpe en spannende roman die vragen oproept over ons geheugen, onze geschiedenis, privacy, democratie en de grenzen aan onze kennis van de wereld.",['Dave Eggers'],http://books.google.com/books/content?id=SkFDEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=SkFDEAAAQBAJ&printsec=frontcover&dq=Circle+of+Three&hl=&cd=1&source=gbs_api,"Bezige Bij b.v., Uitgeverij De",10/19/2021,https://play.google.com/store/books/details?id=SkFDEAAAQBAJ&source=gbs_api,"['Fiction, western, historical fiction']",4
783819498,Copper Streak Trail,"""Copper Streak Trail"" by Eugene Manlove Rhodes. Published by Good Press. Good Press publishes a wide range of titles that encompasses every genre. From well-known classics & literary fiction and non-fiction to forgotten−or yet undiscovered gems−of world literature, we issue the books that need to be read. Each Good Press edition has been meticulously edited and formatted to boost readability for all e-readers and devices. Our goal is to produce eBooks that are user-friendly and accessible to everyone in a high-quality digital format.",['Eugene Manlove Rhodes'],http://books.google.com/books/content?id=OSfEDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=OSfEDwAAQBAJ&printsec=frontcover&dq=Copper+Streak+Trail&hl=&cd=1&source=gbs_api,Good Press,12/12/2019,https://play.google.com/store/books/details?id=OSfEDwAAQBAJ&source=gbs_api,"['Fiction, western, historical fiction']",
60006056,The High Window,"Philip Marlowe, a private detective, searches for a priceless gold coin Mrs. Murdock suspects was stolen by a member of her family",['Raymond Chandler'],http://books.google.com/books/content?id=voWHIMMyCCQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=voWHIMMyCCQC&q=The+High+Window&dq=The+High+Window&hl=&cd=1&source=gbs_api,,1993,http://books.google.nl/books?id=voWHIMMyCCQC&dq=The+High+Window&hl=&source=gbs_api,"['Fiction, western, historical fiction']",
B00085Z2NC,"Sullivan's Law (Rosenberg, Nancy Taylor)","In her work for the Ventura County Probation Department, Carolyn Sullivan interviews the most dangerous, depraved criminals—and Raphael Moreno is at the top of the list. The hardened street thug has been convicted in a series of gruesome and baffling murders, including the decapitation of his own mother. For the first time, Carolyn is face-to-face with a criminal who truly frightens her. But things are about to get much hotter—and much deadlier for Carolyn. A phone call from her brother, Neil, propels her into a nightmare. A popular bachelor and successful artist, Neil has discovered the body of his fiancée, Laurel, floating in his swimming pool. When her death is ruled a homicide, Neil becomes the prime suspect. After his alibi falls apart, the sensitive brother Carolyn thought she knew suddenly seems like a complete stranger. And then the most shattering news surfaces: Blood found in Neil's expensive new car links him to Raphael Moreno and his unthinkable crimes. Could Carolyn's own brother actually be a cold-hearted, ruthless killer? Crackling with tension and gritty authenticity, Sullivan's Justice is a white-knuckle ride into the belly of the beast that doesn't let up until the last startling page. PRAISE FOR NANCY TAYLOR ROSENBERG AND SULLIVAN'S LAW ""Everything a legal thriller fan could hope for. As always, Nancy Taylor Rosenberg delivers the goods."" —Nelson DeMille ""Rosenberg keeps the tension high."" —People ""A fast-paced thriller. . . . Carolyn Sullivan is so human and determined that it's almost impossible not to race to the end to see what happens to her next."" —Publishers Weekly",['Nancy Taylor Rosenberg'],http://books.google.com/books/content?id=5ufkzl1b0LEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"http://books.google.nl/books?id=5ufkzl1b0LEC&printsec=frontcover&dq=Sullivan%27s+Law+(Rosenberg,+Nancy+Taylor)&hl=&cd=1&source=gbs_api",Pinnacle Books,4/1/2005,"http://books.google.nl/books?id=5ufkzl1b0LEC&dq=Sullivan%27s+Law+(Rosenberg,+Nancy+Taylor)&hl=&source=gbs_api","['Fiction, western, historical fiction']",
B0007ED2EU,The Eyes of the Killer Robot (Johnny Dixon Mysteries (PB)),A comprehensive bibliography of books and short fiction published in the English language.,,http://books.google.com/books/content?id=Tj7gAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=Tj7gAAAAMAAJ&pg=PA20&dq=The+Eyes+of+the+Killer+Robot+(Johnny+Dixon+Mysteries+(PB))&hl=&cd=1&source=gbs_api,,1986,http://books.google.nl/books?id=Tj7gAAAAMAAJ&dq=The+Eyes+of+the+Killer+Robot+(Johnny+Dixon+Mysteries+(PB))&hl=&source=gbs_api,"['Fiction, western, historical fiction']",1
B000IOF1PM,Petersburg: Out of the Trenches,"By March 1865, nearly four years of our Civil War had exhausted both Northern and Southern armies, but the defenders of besieged Petersburg knew that only a break through the lines would free them to fight another day. When John B. Gordon's assault at Fort Stedman failed and Philip Sheridan swept Lee's right flank away at Five Forks, the only option left was a fighting retreat to join Joseph E. Johnston's army in North Carolina.Petersburg traces the individuals who took part in that desperate fighting which forced Robert E. Lee to retreat westward. Colonel Wensyel showcases not only the personalities of major characters like Abraham Lincoln, Ulysses S. Grant, and Robert E. Lee, but also brings to life the ordinary soldier of both sides. Using Joshua Chamberlain, one of the heroes of Gettysburg, as a central figure, the author tells the story of the siege of Petersburg and evacuation of Richmond through scenes, conversations, and thoughts. Though written as historical fiction, the background and events are accurately researched and portrayed. This book vividly recreates the people and events of the last few weeks of the war.",['James W. Wensyel'],http://books.google.com/books/content?id=8qwNAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=8qwNAAAACAAJ&dq=Petersburg:+Out+of+the+Trenches&hl=&cd=1&source=gbs_api,,1998,http://books.google.nl/books?id=8qwNAAAACAAJ&dq=Petersburg:+Out+of+the+Trenches&hl=&source=gbs_api,"['Fiction, western, historical fiction']",2
